id,kind,title,authors,year,role,domains,doi,url,access,importance,evidence_note,connections
paper-geothermal-japan-2026,paper,"Evaluating the Efficiency of Machine Learning Algorithms in Identifying Geothermal Energy Potential Areas in Akita and Iwate Provinces, Japan",Majid Kiavarz; Mohammadreza Jelokhani-Niaraki; Avin Meysami; Yasaman Ghorbani; Najmeh Neysani Samany,2026,application; state_of_the_art,geothermal; machine_learning; remote_sensing,10.5194/isprs-archives-XLIX-B2-2026-699-2026,https://isprs-archives.copernicus.org/articles/XLIX-B2-2026/699/2026/,open_access,Very recent ML application under limited well data; useful for data-scarcity and validation discussions.,"Useful contemporary case, but reported accuracy should be interpreted with sampling/validation design in mind.",concept-geothermal-prospectivity; concept-data-scarcity; concept-random-forest
paper-prithvi-eo2-2024,paper,Prithvi-EO-2.0: A Versatile Multi-Temporal Foundation Model for Earth Observation Applications,Daniela Szwarcman; Sujit Roy; Paolo Fraccaro; et al.,2024,methodological; state_of_the_art,earth_observation; foundation_models; multitemporal,,https://arxiv.org/abs/2412.02732,open_access,Strong open EO foundation model: 300M/600M models trained on 4.2M global HLS time-series samples with temporal/location embeddings.,Highly actionable for downstream fine-tuning and benchmark comparisons.,repo-prithvi-eo2; dataset-hls-v2; repo-terratorch
paper-terramind-2025,paper,TerraMind: Large-Scale Generative Multimodality for Earth Observation,Johannes Jakubik; Felix Yang; Benedikt Blumenstiel; et al.,2025,methodological; state_of_the_art,earth_observation; foundation_models; multimodal; generative_ai,,https://arxiv.org/abs/2504.11171,open_access,Any-to-any generative multimodal EO foundation model trained across nine modalities; introduces Thinking-in-Modalities.,Especially relevant for optical+SAR/multimodal research hypotheses.,repo-terramind; repo-terratorch; concept-multimodal-eo
paper-satmae-2022,paper,SatMAE: Pre-training Transformers for Temporal and Multi-Spectral Satellite Imagery,Yezhen Cong; Samar Khanna; Chenlin Meng; Patrick Liu; Erik Rozi; Yutong He; Marshall Burke; David B. Lobell; Stefano Ermon,2022,seminal; methodological,earth_observation; foundation_models; transformers; self_supervised_learning,,https://arxiv.org/abs/2207.08051,open_access,Seminal EO masked-autoencoder work explicitly modeling temporal and multispectral satellite structure.,Foundational precursor for later EO foundation models.,repo-satmae; concept-masked-autoencoder; concept-transformer
paper-rsfm-survey-2025,paper,Foundation Models for Remote Sensing and Earth Observation: A Survey,Aoran Xiao; Weihao Xuan; Junjue Wang; Jiaxing Huang; Dacheng Tao; Shijian Lu; Naoto Yokoya,2025,review; state_of_the_art,earth_observation; foundation_models,10.1109/MGRS.2025.3576766,https://arxiv.org/abs/2410.16602,open_access_preprint,"Broad taxonomy and benchmark-oriented survey spanning visual, vision-language and other RS foundation models.",Excellent snowballing root for the foundation-model branch.,paper-prithvi-eo2-2024; paper-terramind-2025; paper-satmae-2022; repo-dofa; repo-clay
paper-vfm-rs-survey-2024,paper,Vision Foundation Models in Remote Sensing: A Survey,Siqi Lu; Junlin Guo; James R Zimmer-Dauphinee; et al.,2024,review,earth_observation; foundation_models; computer_vision,,https://arxiv.org/abs/2408.03464,open_access,"Complementary survey of vision foundation models, pretraining datasets and transfer/generalization issues.",Useful for model-family comparison and research-gap triangulation.,paper-rsfm-survey-2025; concept-foundation-model
paper-hls-v2-2025,paper,The Harmonized Landsat and Sentinel-2 Version 2.0 Surface Reflectance Dataset,J. Ju; Q. Zhou; B. Freitag; D. P. Roy; H. K. Zhang; M. Sridhar; et al.,2025,dataset; methodological,earth_observation; surface_reflectance; multitemporal,10.1016/j.rse.2025.114723,https://hls.gsfc.nasa.gov/documents/,official_project,Analysis-ready harmonized Landsat/Sentinel-2 dataset underpinning Prithvi-EO-2.0 and many temporal EO workflows.,Important data foundation for reproducible temporal EO experiments.,dataset-hls-v2; paper-prithvi-eo2-2024
repo-prithvi-eo2,repository,NASA-IMPACT/Prithvi-EO-2.0,NASA IMPACT; IBM Research,2024,implementation,earth_observation; foundation_models,,https://github.com/NASA-IMPACT/Prithvi-EO-2.0,open_source,Official code/examples for Prithvi-EO-2.0 fine-tuning.,,paper-prithvi-eo2-2024; repo-terratorch
repo-terramind,repository,IBM/terramind,IBM; ESA Φ-lab,2025,implementation,earth_observation; foundation_models; multimodal,,https://github.com/IBM/terramind,open_source,"Official TerraMind code examples, generation and fine-tuning.",,paper-terramind-2025; repo-terratorch
repo-clay,repository,Clay Foundation Model,Clay Foundation,2025,implementation; foundation_model,earth_observation; foundation_models,,https://github.com/Clay-foundation/model,open_source,Open EO foundation model with geospatial/temporal context and Sentinel-1/Sentinel-2/DEM-oriented workflows.,,paper-rsfm-survey-2025; repo-torchgeo
repo-dofa,repository,DOFA: Dynamic One-For-All Foundation Model,zhu-xlab,2024,implementation; foundation_model,earth_observation; foundation_models; multimodal,,https://github.com/zhu-xlab/DOFA,open_source,Unified EO model designed to handle arbitrary channel counts and multiple sensor modalities.,,paper-rsfm-survey-2025; repo-terratorch
repo-satmae,repository,sustainlab-group/SatMAE,SustainLab,2022,implementation,earth_observation; foundation_models,,https://github.com/sustainlab-group/SatMAE,open_source,Official SatMAE code for temporal and multispectral masked-autoencoder pretraining.,,paper-satmae-2022
repo-terratorch,repository,TerraTorch,TorchGeo/IBM community,2024,implementation; tooling,earth_observation; foundation_models; deep_learning,,https://github.com/torchgeo/terratorch,open_source,Fine-tuning framework for geospatial foundation models; integrates with TorchGeo and multiple model families.,,repo-torchgeo; repo-prithvi-eo2; repo-terramind; repo-dofa
repo-torchgeo,repository,TorchGeo,TorchGeo community,2025,implementation; tooling,earth_observation; deep_learning; datasets,,https://github.com/torchgeo/torchgeo,open_source,"PyTorch geospatial datasets, samplers, transforms and pretrained models; strong implementation substrate.",,repo-terratorch; dataset-bigearthnet
repo-samgeo,repository,segment-geospatial (SamGeo),Qiusheng Wu; Lucas Prado Osco; contributors,2023,implementation; segmentation,earth_observation; segmentation; foundation_models,,https://github.com/opengeos/segment-geospatial,open_source,Practical geospatial SAM tooling for raster/vector segmentation and interactive workflows.,,concept-segmentation; repo-torchgeo
repo-satlas,repository,allenai/satlas,Allen Institute for AI,2023,implementation; dataset,earth_observation; foundation_models,,https://github.com/allenai/satlas,open_source,Satlas geospatial data plus SatlasPretrain dataset/model resources.,,repo-satlas-models
repo-satlas-models,repository,allenai/satlaspretrain_models,Allen Institute for AI,2023,implementation; foundation_model,earth_observation; foundation_models,,https://github.com/allenai/satlaspretrain_models,open_source,"Pretrained models for Sentinel-1/2, Landsat and aerial imagery.",,repo-satlas
dataset-jrc-gsw-v1-4,dataset,JRC Global Surface Water Mapping Layers v1.4,European Commission JRC; Google,2021,benchmark; dataset,surface_water; earth_observation,,https://developers.google.com/earth-engine/datasets/catalog/JRC_GSW1_4_GlobalSurfaceWater,open_data,Global 30 m surface-water occurrence/change layers derived from 4.7M+ Landsat scenes through 2021.,,paper-pekel-2016-gsw; dataset-landsat-c2-sr
dataset-hls-v2,dataset,Harmonized Landsat and Sentinel-2 v2.0 (HLS),NASA,2025,dataset; analysis_ready_data,earth_observation; surface_reflectance; multitemporal,,https://hls.gsfc.nasa.gov/data-access-and-tools/,open_data,Analysis-ready harmonized Landsat/Sentinel-2 surface reflectance with frequent revisit; core pretraining source for Prithvi-EO-2.0.,,paper-hls-v2-2025; paper-prithvi-eo2-2024
dataset-landsat-c2-sr,dataset,Landsat Collection 2 Surface Reflectance,USGS,2020,dataset; foundational,earth_observation; surface_reflectance,,https://www.usgs.gov/landsat-missions/landsat-collection-2-surface-reflectance,open_data,Core 30 m analysis-ready optical record used broadly for long-term surface-water and geothermal studies.,,dataset-jrc-gsw-v1-4; dataset-hls-v2
dataset-sentinel2,dataset,Copernicus Sentinel-2 MSI products,European Union Copernicus; ESA,2025,dataset; sensor,earth_observation; multispectral,,https://sentinels.copernicus.eu/sentinel-data-access/sentinel-products/sentinel-2-data-products,open_data,"10–60 m multispectral data with Level-1C/Level-2A products; central optical source for water, alteration and EO FM research.",,dataset-hls-v2; dataset-bigearthnet
dataset-bigearthnet,dataset,BigEarthNet v2.0,BigEarthNet team,2025,benchmark; dataset,earth_observation; multimodal; classification,,https://bigearth.net/,open_data,Large-scale Sentinel-1/Sentinel-2 benchmark with current v2.0 releases; useful for multimodal EO representation learning.,,repo-torchgeo; dataset-sentinel2
dataset-bigearthnet-txt,dataset,BigEarthNet.txt,Johann-Ludwig Herzog; Mathis Jürgen Adler; et al.,2026,benchmark; state_of_the_art,earth_observation; multimodal; vision_language,,https://txt.bigearth.net/,open_data,2026 multi-sensor image-text benchmark: ~464k co-registered S1/S2 images and ~9.6M S1-S2-text triplets.,,dataset-bigearthnet; concept-multimodal-eo
dataset-usgs-geothermal,dataset_catalog,USGS Geothermal Data Releases,USGS,2026,dataset_catalog,geothermal; geophysics; geochemistry,,https://www.usgs.gov/search?f%5B0%5D=usgs_facet%3Aproducts_data&keywords=Geothermal,open_data,"Official geothermal data releases including magnetotellurics, resource favorability and geochemical/hydrologic data.",,concept-geothermal-prospectivity; concept-geophysics
infra-networkx,documentation,NetworkX MultiDiGraph documentation,NetworkX project,2026,implementation,knowledge_graph,,https://networkx.org/documentation/stable/reference/classes/index.html,open_docs,"Supports directed graphs with parallel edges, matching qualified scientific relations in the V1 design.",,infra-pyvis
infra-pyvis,documentation,PyVis documentation,PyVis project,2026,implementation,knowledge_graph; visualization,,https://pyvis.readthedocs.io/en/latest/,open_docs,Interactive HTML network visualization with NetworkX integration; suitable as a derived V1 view.,,infra-networkx
infra-pydantic,documentation,Pydantic JSON Schema documentation,Pydantic project,2026,implementation,data_validation; knowledge_graph,,https://docs.pydantic.dev/latest/concepts/json_schema/,open_docs,Typed validation plus standards-compliant JSON Schema generation for scientific records.,,infra-networkx
infra-sqlite-fts5,documentation,SQLite FTS5 Extension,SQLite project,2026,implementation,search; knowledge_graph,,https://www.sqlite.org/fts5.html,open_docs,Local deterministic full-text search layer appropriate for a rebuildable V1 index.,,infra-networkx
api-openalex,api,OpenAlex API / Help,OurResearch,2026,discovery_api,bibliography; literature_discovery,,https://help.openalex.org/,public_api,"Open scholarly graph for works, authors, institutions and citations; useful for forward/backward expansion.",,api-crossref; api-semanticscholar
api-crossref,api,Crossref REST API,Crossref,2026,metadata_api,bibliography; doi,,https://www.crossref.org/documentation/retrieve-metadata/rest-api/,public_api,Canonical DOI metadata retrieval and normalization.,,api-openalex; infra-csl
api-semanticscholar,api,Semantic Scholar Academic Graph API,Allen Institute for AI,2026,discovery_api,bibliography; literature_discovery,,https://api.semanticscholar.org/api-docs/,public_api,Paper/citation graph API useful as a complementary discovery source.,,api-openalex
infra-csl,documentation,Citation Style Language specification,Citation Style Language project,2026,bibliography_format,bibliography,,https://docs.citationstyles.org/en/stable/specification.html,open_docs,Interoperable citation/bibliography representation supporting the DESIGN choice of generated CSL-JSON.,,api-crossref
